Episode number, episode RL score
3, 24
4, 6
5, 19
6, 8
7, 36
8, 5
9, 15
10, 10
11, 27
12, 8
13, 26
14, 12
15, 2
16, 8
17, 14
18, 3
19, 7
0, 16
1, 11
2, 14
3, 14
4, 13
5, 14
6, 16
7, 8
8, 6
9, 7
10, 16
11, 19
12, 7
13, 12
14, 8
15, 12
16, 8
17, 12
18, 16
19, 22
0, 6
1, 5
2, 3
3, 4
4, 17
5, 6
6, 10
7, 6
8, 14
9, 7
10, 10
11, 7
12, 11
13, 2
14, 6
15, 16
16, 4
17, 16
18, 7
19, 10
0, 4
1, 7
2, 6
3, 7
4, 3
5, 6
6, 5
7, 3
8, 8
9, 5
10, 6
11, 3
12, 5
13, 4
14, 6
15, 4
16, 3
17, 3
18, 7
19, 3
0, 26
1, 24
2, 10
3, 20
4, 3
5, 9
6, 18
7, 5
8, 3
9, 31
10, 24
11, 5
12, 12
13, 25
14, 5
15, 10
16, 9
17, 13
18, 8
19, 33
0, 6
1, 5
2, 4
3, 5
4, 6
5, 6
6, 6
7, 7
8, 5
9, 3
10, 5
11, 6
12, 4
13, 9
14, 6
15, 4
16, 2
17, 7
18, 7
19, 5
0, 6
1, 3
2, 7
3, 6
4, 8
5, 9
6, 2
7, 4
8, 8
9, 3
10, 5
11, 6
12, 5
13, 4
14, 6
15, 6
16, 3
17, 4
18, 6
19, 6
0, 5
1, 7
2, 6
3, 4
4, 3
5, 4
6, 2
7, 8
8, 5
9, 6
10, 6
11, 5
12, 5
13, 3
14, 5
15, 7
16, 4
17, 7
18, 3
19, 3
0, 5
1, 3
2, 5
3, 4
4, 4
5, 6
6, 8
7, 6
8, 5
9, 4
10, 5
11, 6
12, 5
13, 7
14, 5
15, 4
16, 3
17, 6
18, 4
19, 4
0, 4
1, 5
2, 6
3, 8
4, 15
5, 11
6, 8
7, 5
8, 6
9, 7
10, 6
11, 11
12, 5
13, 7
14, 6
15, 7
16, 10
17, 7
18, 3
19, 7
0, 5
1, 5
2, 5
3, 5
4, 6
5, 5
6, 4
7, 5
8, 5
9, 5
10, 5
11, 5
12, 4
13, 6
14, 4
15, 7
16, 7
17, 8
18, 7
19, 5
0, 5
1, 4
2, 4
3, 3
4, 6
5, 3
6, 4
7, 5
8, 6
9, 7
10, 6
11, 5
12, 4
13, 8
14, 3
15, 5
16, 7
17, 4
18, 5
19, 3
0, 7
1, 4
2, 5
3, 5
4, 4
5, 4
6, 4
7, 5
8, 7
9, 2
10, 4
11, 6
12, 4
13, 3
14, 5
15, 4
16, 7
17, 4
18, 3
19, 7
0, 4
1, 30
2, 7
3, 20
4, 16
5, 4
6, 14
7, 16
8, 16
9, 16
10, 18
11, 17
12, 13
13, 4
14, 5
15, 15
16, 9
17, 17
18, 9
19, 12
0, 6
1, 8
2, 4
3, 3
4, 5
5, 5
6, 7
7, 2
8, 5
9, 3
10, 4
11, 5
12, 4
13, 2
14, 7
15, 6
16, 4
17, 6
18, 7
19, 7
0, 25
1, 25
2, 13
3, 9
4, 6
5, 21
6, 24
7, 18
8, 22
9, 22
10, 19
11, 16
12, 14
13, 9
14, 23
15, 13
16, 19
17, 19
18, 14
19, 23
0, 17
1, 5
2, 9
3, 13
4, 16
5, 5
6, 6
7, 14
8, 10
9, 10
10, 7
11, 11
12, 4
13, 13
14, 11
15, 9
16, 9
17, 9
18, 10
19, 11
0, 5
1, 4
2, 5
3, 5
4, 5
5, 6
6, 4
7, 3
8, 6
9, 6
10, 7
11, 6
12, 5
13, 5
14, 5
15, 4
16, 3
17, 4
18, 3
19, 3
0, 6
1, 7
2, 4
3, 5
4, 15
5, 4
6, 3
7, 4
8, 4
9, 5
10, 5
11, 6
12, 3
13, 4
14, 1
15, 5
16, 7
17, 4
18, 6
19, 5
0, 4
1, 3
2, 1
3, 4
4, 4
5, 5
6, 5
7, 5
8, 7
9, 6
10, 7
11, 7
12, 6
13, 3
14, 5
15, 3
16, 3
17, 7
18, 7
19, 5
0, 2
1, 3
2, 5
3, 5
4, 5
5, 5
6, 5
7, 2
8, 5
9, 4
10, 2
11, 7
12, 4
13, 5
14, 6
15, 6
16, 3
17, 4
18, 3
19, 6
0, 7
1, 3
2, 9
3, 7
4, 6
5, 4
6, 5
7, 5
8, 8
9, 6
10, 8
11, 12
12, 7
13, 9
14, 11
15, 6
16, 4
17, 10
18, 13
19, 3
0, 3
1, 3
2, 2
3, 4
4, 2
5, 5
6, 6
7, 5
8, 6
9, 7
10, 12
11, 6
12, 6
13, 5
14, 5
15, 5
16, 5
17, 4
18, 4
19, 7
0, 14
1, 10
2, 8
3, 10
4, 6
5, 4
6, 16
7, 14
8, 16
9, 15
10, 7
11, 13
12, 10
13, 8
14, 4
15, 7
16, 10
17, 14
18, 8
19, 12
0, 4
1, 6
2, 6
3, 5
4, 7
5, 6
6, 5
7, 6
8, 7
9, 6
10, 5
11, 5
12, 7
13, 7
14, 3
15, 5
16, 4
17, 5
18, 4
19, 6
0, 4
1, 7
2, 11
3, 6
4, 9
5, 6
6, 7
7, 7
8, 8
9, 6
10, 3
11, 7
12, 21
13, 4
14, 9
15, 7
16, 12
17, 5
18, 5
19, 12
0, 7
1, 7
2, 6
3, 3
4, 5
5, 6
6, 5
7, 5
8, 4
9, 5
10, 8
11, 6
12, 6
13, 6
14, 5
15, 5
16, 5
17, 4
18, 3
19, 4
0, 16
1, 15
2, 15
3, 29
4, 17
5, 18
6, 5
7, 28
8, 16
9, 18
10, 23
11, 18
12, 22
13, 22
14, 21
15, 23
16, 18
17, 13
18, 18
19, 19
0, 5
1, 6
2, 6
3, 4
4, 4
5, 5
6, 4
7, 6
8, 5
9, 3
10, 4
11, 5
12, 4
13, 5
14, 5
15, 3
16, 4
17, 6
18, 4
19, 7
